og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
"""Certainly what we know suggests that we should take what they're saying very seriously,"" he added.","""We don't know everything [but] what we know suggests that we should take what they're saying seriously,"" he said.","""Certainly what we know suggests that we should take what they're saying very seriously,"" he added.","""We don't know everything [but] what we know suggests that we should take what they're saying seriously,"" he said.",0,0,no need to correct
"On Wall Street, trading resumed with some glitches from the blackout that continued to affect parts of New York City.",Stocks barely budged Friday as trading resumed with some glitches from the blackout in New York.,"On Wall Street, trading resumed with some glitches from the blackout that continued to affect parts of New York City.",Stocks barely budged Friday as trading resumed with some glitches from the blackout in New York.,0,0,no need to correct
Tony Blair has taken a hardline stance arguing nothing should be done to lessen the pressure on Mugabe at the gathering in the capital Abuja.,The Prime Minister has taken a hardline stance arguing nothing should be done to lessen the pressure on Mugabe.,Tony Blair has taken a hardline stance arguing nothing should be done to lessen the pressure on Mugabe at the gathering in the capital Abuja.,The Prime Minister has taken a hardline stance arguing nothing should be done to lessen the pressure on Mugabe.,0,0,no need to correct
Emmy and Golden Globe Award-winners James Brolin and Judy Davis star as Ronald and Nancy Reagan in The Reagans.,James Brolin and Judy Davis play Ronald and Nancy Reagan in the CBS film.,Emmy and Golden Globe Award-winners James Brolin and Judy Davis star as Ronald and Nancy Reagan in The Reagans.,James Brolin and Judy Davis play Ronald and Nancy Reagan in the CBS film.,1,0,can't correct
"The Securities and Exchange Commission also filed a civil fraud complaint against Dinh, of Phoenixville.",The Securities and Exchange Commission brought a related civil case on Thursday.,"The Securities and Exchange Commission also filed a civil fraud complaint against Dinh, of Phoenixville.",The Securities and Exchange Commission brought a related civil case on Thursday.,0,0,no need to correct
"Levin's attorney, Bo Hitchcock, declined to comment Friday.","Hitchcock has declined to comment on the case, as has Levin.","Levin's attorney, Bo Hitchcock, declined to comment Friday.","Hitchcock has declined to comment on the case, as has Levin.",0,0,no need to correct
A month ago a military C-17 transporter returned to Baghdad when an engine exploded.,"A month ago a military transport plane returned to Baghdad when an engine exploded in what officials called a ""safety incident.""",A month ago a military C-17 transporter returned to Baghdad when an engine exploded.,"A month ago a military transport plane returned to Baghdad when an engine exploded in what officials called a ""safety incident.""",0,0,no need to correct
The Swiss franc rose nearly a third of a centime against the dollar and was last at 1.2998 <CHF=> to the greenback.,The Swiss franc rose three quarters of a percent against the dollar and was last at 1.2980 to the greenback.,The Swiss franc rose three quarters of a centime against the dollar and was last at 1.2998 <CHF=> to the greenback.,The Swiss franc rose three quarters of a percent against the dollar and was last at 1.2998 to the greenback.,1,1,corrected
The Swiss franc rose nearly a third of a centime against the dollar and was last at 1.2998 <CHF=> to the greenback.,The Swiss franc rose three quarters of a percent against the dollar and was last at 1.2980 to the greenback.,The Swiss franc rose three quarters of a centime against the dollar and was last at 1.2980 <CHF=> to the greenback.,The Swiss franc rose three quarters of a percent against the dollar and was last at 1.2980 to the greenback.,1,1,corrected
Associated Press Writers Michelle Morgante in San Diego and Ken Ritter in Las Vegas contributed to this article.,Associated Press Writer Ken Ritter in Las Vegas contributed to this article.,Associated Press Writers Michelle Morgante in San Diego and Ken Ritter in Las Vegas contributed to this article.,Associated Press Writer Ken Ritter in Las Vegas contributed to this article.,0,0,no need to correct
"On Saturday, a 149mph serve against Agassi equalled Rusedski's world record.","On Saturday, Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi.","On Saturday, a 149mph serve against Agassi equalled Rusedski's world record.","On Saturday, Roddick equalled the world record with a 149 m.p.h. serve in beating Andre Agassi.",0,0,no need to correct
"The purchase is the largest conservation transaction in Hawaii's history, the agencies said.","The $22 million deal, announced Thursday, is also the largest land conservation transaction in Hawaii history.","The purchase is the largest conservation transaction in Hawaii's history, the agencies said.","The $22 million deal, announced Thursday, is also the largest land conservation transaction in Hawaii history.",1,0,can't correct
"She said Nelson heard someone shout, ""Let's get the Jew!""","Mr. Nelson heard people shout: ""There's a Jew.","She said Nelson heard someone shout, ""Let's get the Jew!""","Mr. Nelson heard people shout: ""There's a Jew.",0,0,no need to correct
"The FCC said existing televisions, VCRs, DVD players and related equipment would remain fully functional under the new broadcast flag system.","It also required that existing televisions, VCRs, DVD players and related equipment will remain fully functional under the new broadcast flag system.","The FCC said existing televisions, VCRs, DVD players and related equipment would remain fully functional under the new broadcast flag system.","It also required that existing televisions, VCRs, DVD players and related equipment will remain fully functional under the new broadcast flag system.",1,0,can't correct
Motorola had scheduled its earnings report to be released today after the close of trading.,"The Schaumburg, Ill.-based company had scheduled its earnings report to be released on Tuesday after the close of trading.",Motorola had scheduled its earnings report to be released today after the close of trading.,"The Schaumburg, Ill.-based company had scheduled its earnings report to be released on Tuesday after the close of trading.",1,0,can't correct
"For the third time in the past four years, wildfires are the problem.",It was the third time in four years that wildfires forced the park to close.,"For the third time in the past four years, wildfires are the problem.",It was the third time in past four years that wildfires forced the park to close.,1,1,corrected
"For the third time in the past four years, wildfires are the problem.",It was the third time in four years that wildfires forced the park to close.,"For the third time in the four years, wildfires are the problem.",It was the third time in four years that wildfires forced the park to close.,1,1,corrected
Most of those killed were labourers from Jharkhand and Nepal who were working at Rohtang tunnel.,The majority of the dead were labourers from Jharkhand and Nepal.,Most of those killed were labourers from Jharkhand and Nepal who were working at Rohtang tunnel.,The majority of the dead were labourers from Jharkhand and Nepal.,0,0,no need to correct
"Axcan's shares closed down 63 Canadian cents, or 4 percent, at C$16.93 in Toronto on Tuesday.","Axcan's shares were down 3.8 percent, or 66 Canadian cents, at C$16.90 in Toronto on Tuesday.","Axcan's shares closed down 63 Canadian cents, or 4 percent, at C$16.93 in Toronto on Tuesday.","Axcan's shares were down 3.8 percent, or 66 Canadian cents, at C$16.90 in Toronto on Tuesday.",1,0,can't correct
It forecast 445 billion yen in loan-loss charges for the year ending next March.,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago.,It forecast 445 billion yen in loan-loss charges for the year ending next March.,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago.,0,0,no need to correct
Iraqi doctors who treated former prisoner of war Jessica Lynch dismissed on Friday claims made in her biography that she was raped by her Iraqi captors.,Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors.,Iraqi doctors who treated former prisoner of war Jessica Lynch dismissed on Friday claims made in her biography that she was raped by her Iraqi captors.,Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors.,0,0,no need to correct
"On Thursday, Lee won a preliminary injunction in New York preventing Viacom from using the name ""Spike TV.""","On Thursday, a New York City judge ordered Viacom to stop using the name Spike TV pending a trial.","On Thursday, Lee won a preliminary injunction in New York preventing Viacom from using the name ""Spike TV.""","On Thursday, a New York City judge ordered Viacom to stop using the name Spike TV pending a trial.",1,0,can't correct
"A grief-stricken old woman, disconsolate with grief, smeared her face with dirt, uttering: ""My child, my child.""","One old woman, disconsolate with grief, smeared her face with dirt, only able to utter: ""My child, my child.""","A grief-stricken old woman, disconsolate with grief, smeared her face with dirt, uttering: ""My child, my child.""","One old woman, disconsolate with grief, smeared her face with dirt, only able to utter: ""My child, my child.""",1,0,can't correct
In 1999 a California legislator proposed a law requiring driving tests for those over the age of 75 who sought to renew their licenses.,In 1999 a California state senator proposed a law requiring motorists over the age of 75 to take driving tests to renew their licenses.,In 1999 a California legislator proposed a law requiring driving tests for those over the age of 75 who sought to renew their licenses.,In 1999 a California state senator proposed a law requiring motorists over the age of 75 to take driving tests to renew their licenses.,1,1,no need to correct
"More than 400 people have been killed since August, including Afghan and foreign aid workers, U.S. and Afghan soldiers, officials and police, and many guerrillas.","They have included local and foreign aid workers, U.S. troops, Afghan soldiers, officials and police, as well as many guerrillas.","More than 400 people have been killed since August, including Afghan and foreign aid workers, U.S. and Afghan soldiers, officials and police, and many guerrillas.","They have included local and foreign aid workers, U.S. troops, Afghan soldiers, officials and police, as well as many guerrillas.",0,0,no need to correct
"Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new technologies and methods to communicate more quickly and efficiently.","Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new ways to communicate.","Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new technologies and methods to communicate more quickly and efficiently.","Chad Kolton, emergency management spokesman with the Department of Homeland Security, said the government is open to new ways to communicate.",1,1,no need to correct
The results will be published the July 10 issue of the journal Nature.,The results appear in Thursday’s issue of the journal Nature.,The results will be published the Thursday issue of the journal Nature.,The results appear in Thursday's issue of the journal Nature.,1,1,corrected
The results will be published the July 10 issue of the journal Nature.,The results appear in Thursday’s issue of the journal Nature.,The results will be published the July 10 issue of the journal Nature.,The results appear in July 10's issue of the journal Nature.,1,1,corrected
"The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the incompetence of his ministers.","The Leader of the Opposition, Simon Crean, said from Jakarta that the reshuffle had been forced by ministerial incompetence.","The Opposition Leader, Simon Crean, said John Howard had been forced to make changes by the incompetence of his ministers.","The Leader of the Opposition, Simon Crean, said from Jakarta that the reshuffle had been forced by ministerial incompetence.",1,0,can't correct
"In fact, 10 million shares of the sale went to an unidentified charitable trust - which promptly sold them.","Turner said he transferred 10 million additional shares to a charitable trust, which also liquidated them.","In fact, 10 million shares of the sale went to an unidentified charitable trust - which promptly sold them.","Turner said he transferred 10 million additional shares to a charitable trust, which also liquidated them.",1,0,can't correct
The airline says only Robert Milton is taking a 15-per-cent reduction in pay.,"The airline's pilots, for example, are taking a 15-per-cent cut.",The airline says only Robert Milton is taking a 15-per-cent reduction in pay.,"The airline's pilots, for example, are taking a 15-per-cent cut.",0,0,no need to correct
The WHIMS study found that combination hormone therapy doubled the risk for probable dementia in women 65 and older and did not prevent mild cognitive impairment.,One study found that combination therapy doubled the risk of probable dementia and did not prevent less-severe mental decline.,The WHIMS study found that combination hormone therapy doubled the risk for probable dementia in women 65 and older and did not prevent mild cognitive impairment.,One study found that combination therapy doubled the risk of probable dementia and did not prevent less-severe mental decline.,1,0,can't correct
"The broader Standard & Poor's 500 Index gained 16.02 points, or 1.62 percent, at 1,004.63.","The technology-laced Nasdaq Composite Index added 28.73 points, or 1.77 percent, at 1,655.22.","The broader Standard & Poor's 500 Index gained 16.02 points, or 1.62 percent, at 1,004.63.","The technology-laced Nasdaq Composite Index added 28.73 points, or 1.77 percent, at 1,655.22.",0,0,no need to correct
Researchers found that people 65 and older who had fish once a week had a 60% lower risk of Alzheimer's than those who never or rarely ate fish.,"Older people who eat fish at least once a week could cut their risk of Alzheimer's by more than half, a study suggests.",Researchers found that people 65 and older who had fish once a week had a 60% lower risk of Alzheimer's than those who never or rarely ate fish.,"Older people who eat fish at least once a week could cut their risk of Alzheimer's by more than half, a study suggests.",1,0,can't correct
"The product also features an updated release of the Apache Web server, as well as Apache Tomcat and Apache Axis.","Panther Server also includes an updated release of Apache, along with Apache Tomcat and Apache Axis for creating powerful web services.","The product also features an updated release of the Apache Web server, as well as Apache Tomcat and Apache Axis.","Panther Server also includes an updated release of Apache, along with Apache Tomcat and Apache Axis for creating powerful web services.",0,0,no need to correct
"""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thai Prime Minister Thaksin Shinawatra told business leaders.","""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thaksin said.","""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thai Prime Minister Thaksin Shinawatra told business leaders.","""APEC leaders are painfully aware that security and prosperity are inseparable,"" Thaksin said.",1,0,can't correct
Clayton's shares were also suspended from trading on the New York Stock Exchange.,Clayton Homes' stock ceased trading on the New York Stock Exchange after Wednesday's close.,Clayton's shares were also suspended from trading on the New York Stock Exchange.,Clayton Homes' stock ceased trading on the New York Stock Exchange after Wednesday's close.,1,0,can't correct
"The cleanup, including new carpeting, electrical wiring and bathrooms, cost about $130 million.","The $130 million cleanup included new carpet, electrical wiring and bathrooms.","The cleanup, including new carpeting, electrical wiring and bathrooms, cost about $130 million.","The $about $130 million cleanup included new carpet, electrical wiring and bathrooms.",1,1,corrected
"The cleanup, including new carpeting, electrical wiring and bathrooms, cost about $130 million.","The $130 million cleanup included new carpet, electrical wiring and bathrooms.","The cleanup, including new carpeting, electrical wiring and bathrooms, cost 130 million.","The $130 million cleanup included new carpet, electrical wiring and bathrooms.",1,1,corrected
"Three such vigilante-style attacks forced the hacker organiser, who identified himself only as ""Eleonora67],"" to extend the contest until 8am (AEST) today.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT Sunday.","Three such vigilante-style attacks forced the hacker organiser, who identified himself only as ""Eleonora67],"" to extend the contest until 6 p.m. EDT Sunday.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT Sunday.",1,1,corrected
"Three such vigilante-style attacks forced the hacker organiser, who identified himself only as ""Eleonora67],"" to extend the contest until 8am (AEST) today.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT Sunday.","Three such vigilante-style attacks forced the hacker organiser, who identified himself only as ""Eleonora67],"" to extend the contest until 6 p.m. EDT today.","Three such vigilante-style attacks forced the hacker organizer, who identified himself only as ""Eleonora67,"" to extend the contest until 6 p.m. EDT today.",1,1,corrected
"They said many had been beaten, and police officers also stormed private wards at the hospital and harassed patients.",They said the police officers also entered various private wards at the clinic and attacked patients.,"They said many had been beaten, and police officers also stormed private wards at the hospital and harassed patients.",They said the police officers also entered various private wards at the clinic and attacked patients.,0,0,no need to correct
"US authorities blame Al Qaeda for the attacks, which killed 231 people, including 12 Americans.","U.S. authorities blame Osama bin Laden's al-Qaida network for the attacks, which killed 231 people, including 12 Americans.","US authorities blame Al Qaeda for the attacks, which killed 231 people, including 12 Americans.","U.S. authorities blame Osama bin Laden's al-Qaida network for the attacks, which killed 231 people, including 12 Americans.",1,0,can't correct
"Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","Standing with reporters and photographers about 150 yards from the prison gates was Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.","""The whole thing is a travesty,"" fumed Brent Newbury, president of the Rockland County Patrolmen's Benevolent Association.",0,0,no need to correct
Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",Bremer said one initiative is to launch a US$70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects.,"Bremer said he would launch a $70-million program in the next two weeks to clean up neighborhoods across Iraq and build community projects, but gave no details.",1,0,can't correct
"Earlier this year, the company announced a restatement of its 2002, 2001 and 2000 financial results.","Earlier this year, the company said it would restate its 2000, 2001 and 2002 financial results.","Earlier this year, the company announced a restatement of its 2002, 2001 and 2000 financial results.","Earlier this year, the company said it would restate its 2000, 2001 and 2002 financial results.",1,1,no need to correct
U.S. same-store sales last months at Tim Hortons rose 8.8 per cent.,Tim Hortons' same-store sales in Canada rose by 6.7 per cent.,U.S. same-store sales last months at Tim Hortons rose 8.8 per cent.,Tim Hortons' same-store sales in Canada rose by 6.7 per cent.,1,0,can't correct
World economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback.,"DUBAI, SEPTEMBER 23:  The world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback.",World economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback.,"DUBAI, SEPTEMBER 23:  The world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback.",1,0,can't correct
Sterling was down 0.8 percent against the dollar at $1.5875 GBP= .,The dollar rose 0.15 percent against the Japanese currency to 115.97 yen.,Sterling was down 0.8 percent against the dollar at $1.5875 GBP= .,The dollar rose 0.15 percent against the Japanese currency to 115.97 yen.,0,0,no need to correct
Police said they believe Cruz knew of the girl through one of her former schoolmates - though neither the girl nor her family knew him.,"Police said on Monday they believed Cruz knew of the fourth-grade girl through one of her former schoolmates, although neither the girl nor her family knew him.",Police said they believe Cruz knew of the girl through one of her former schoolmates - though neither the girl nor her family knew him.,"Police said on Monday they believed Cruz knew of the fourth-grade girl through one of her former schoolmates, although neither the girl nor her family knew him.",1,0,can't correct
"Peck died peacefully at his Los Angeles home early Thursday with his wife of 48 years, Veronique, by his side.","Peck, who was 87, died peacefully at his Los Angeles home last Thursday with his French-born wife of 48 years, Veronique, at his side.","Peck died peacefully at his Los Angeles home early Thursday with his wife of 48 years, Veronique, by his side.","Peck, who was 87, died peacefully at his Los Angeles home last Thursday with his French-born wife of 48 years, Veronique, at his side.",1,0,can't correct
"Holden toured Northmoor, a small town in Platte County, Mo., where between 25 and 30 homes were either damaged or destroyed.","Mr. Holden toured Northmoor, where between 25 and 30 homes were either damaged or destroyed and the town hall and police station also were damaged.","Holden toured Northmoor, a small town in Platte County, Mo., where between 25 and 30 homes were either damaged or destroyed.","Mr. Holden toured Northmoor, where between 25 and 30 homes were either damaged or destroyed and the town hall and police station also were damaged.",0,0,no need to correct
"But in the end, all the worm did was visit a pornography site, said Vincent Weafer, a security director with Symantec Security Response in California.","But Vincent Weafer, security director with Symantec Security Response, said all the virus did was visit a pornography site.","But in the end, all the worm did was visit a pornography site, said Vincent Weafer, a security director with Symantec Security Response in California.","But Vincent Weafer, security director with Symantec Security Response, said all the virus did was visit a pornography site.",1,0,can't correct
"While it was being called mandatory, Dupont said authorities were not forcing people from their homes.","It was called mandatory, but Dupont said authorities did not force people to leave.","While it was being called mandatory, Dupont said authorities were not forcing people from their homes.","It was called mandatory, but Dupont said authorities did not force people to leave.",1,1,no need to correct
Shares in Juniper Networks jumped more than 10 per cent on Monday after the networking equipment maker inked a sales and marketing deal with Lucent Technologies.,"The stock of Juniper Networks Inc. rose sharply Monday after the Mountain View, Calif.-based network-equipment maker announced a distribution and development deal with Lucent Technologies Inc.",Shares in Juniper Networks jumped more than 10 per cent on Monday after the networking equipment maker inked a sales and marketing deal with Lucent Technologies.,"The stock of Juniper Networks Inc. rose sharply Monday after the Mountain View, Calif.-based network-equipment maker announced a distribution and development deal with Lucent Technologies Inc.",1,0,can't correct
The legislation came after U.S. District Judge Lee R. West in Oklahoma City ruled last week that the FTC lacked authority to run the registry.,U.S. District Judge Lee R. West ruled Tuesday in Oklahoma City that the FTC lacks authority to run the registry.,The legislation came after U.S. District Judge Lee R. West in Oklahoma City ruled last week that the FTC lacked authority to run the registry.,U.S. District Judge Lee R. West ruled Tuesday in Oklahoma City that the FTC lacks authority to run the registry.,0,0,no need to correct
"The report said the Corpus Christi-based agent twice called Escobar while the legislator was with the other protesting Democrats in Ardmore, Okla.","The report said the agent twice called state Rep. Juan Escobar while he was with the other protesting Democrats in Ardmore, Okla.","The report said the Corpus Christi-based agent twice called Escobar while the legislator was with the other protesting Democrats in Ardmore, Okla.","The report said the agent twice called state Rep. Juan Escobar while he was with the other protesting Democrats in Ardmore, Okla.",1,0,can't correct
"Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents.","Yesterday, shares closed up 29 cents, or 0.54 percent, at $54.32.","Amazon's shares yesterday closed at $54.32 on the Nasdaq Stock Market, up 29 cents.",1,0,can't correct
"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings.","North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings.",1,1,no need to correct
President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,President George Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for war.,President George Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,President George Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for war.,1,1,corrected
President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,President George Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for war.,President Bush and top officials in his administration cited the threat from Iraq's alleged chemical and biological weapons and nuclear weapons program as the main justification for going to war.,President Bush and top administration officials cited the threat from Iraq's banned weapons programs as the main justification for war.,1,1,corrected
"Officials with Rescue California, one of the groups leading the recall campaign, called the lawsuit laughable.","The director of Rescue California, the group leading the recall campaign, called the lawsuit ""laughable.""","Officials with Rescue California, one of the groups leading the recall campaign, called the lawsuit laughable.","The director of Rescue California, the group leading the recall campaign, called the lawsuit ""laughable.""",1,0,can't correct
"The agreement resolves a lawsuit AOL filed against Microsoft in January 2002 on behalf of its subsidiary, Netscape Communications.",The legal settlement resolves the private anti-trust lawsuit filed against Microsoft in January 2002 by AOL Time Warner's America Online unit on behalf of its Netscape subsidiary.,"The agreement resolves a lawsuit AOL filed against Microsoft in January 2002 on behalf of its subsidiary, Netscape Communications.",The legal settlement resolves the private anti-trust lawsuit filed against Microsoft in January 2002 by AOL Time Warner's America Online unit on behalf of its Netscape subsidiary.,1,0,can't correct
"The street-racing sequel ""2 Fast 2 Furious"" won the pole position at the box office, taking in an estimated $52.1 million in its opening weekend.","The PG-13 sequel ""2 Fast 2 Furious"" raked in an estimated $52.1 million during its opening weekend, jumping over last weekend's catch, ""Finding Nemo.""","The street-racing sequel ""2 Fast 2 Furious"" won the pole position at the box office, taking in an estimated $52.1 million in its opening weekend.","The PG-13 sequel ""2 Fast 2 Furious"" raked in an estimated $52.1 million during its opening weekend, jumping over last weekend's catch, ""Finding Nemo.""",0,0,no need to correct
"Dell has about 32 percent of the U.S. market, but much lower share in the rest of the world.","Dell has 32 percent of the PC market in the United States, but it has only a 10 percent share in the rest of the world.","Dell has about 32 percent of the U.S. market, but much lower share in the rest of the world.","Dell has 32 percent of the PC market in the United States, but it has only a 10 percent share in the rest of the world.",1,0,can't correct
"He was sent to Larned State Hospital, where he was evaluated and treated.",He ordered him sent to the Larned State Security Hospital for continued evaluation and treatment.,"He was sent to Larned State Security Hospital, where he was evaluated and treated.",He ordered him sent to the Larned State Security Hospital for continued evaluation and treatment.,1,1,corrected
"He was sent to Larned State Hospital, where he was evaluated and treated.",He ordered him sent to the Larned State Security Hospital for continued evaluation and treatment.,"He was sent to Larned State Hospital, where he was evaluated and treated.",He ordered him sent to the Larned State Hospital for continued evaluation and treatment.,1,1,corrected
"Two weeks later on New Year's night, Nikia Shanell Kilpatrick was discovered bound and strangled in her apartment.","On Jan. 1, Nikia Shanell Kilpatrick, who was pregnant, was found bound and strangled in her apartment.","Two weeks later on New Year's night, Nikia Shanell Kilpatrick was discovered bound and strangled in her apartment.","On Jan. 1, Nikia Shanell Kilpatrick, who was pregnant, was found bound and strangled in her apartment.",0,0,no need to correct
"With the power back on, state workers headed back to their jobs Friday morning.","Pataki said if power was restored, state workers would be back on the job Friday morning.","With the power back on, state workers headed back to their jobs Friday morning.","Pataki said if power was restored, state workers would be back on the job Friday morning.",0,0,no need to correct
The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada - the FDA's counterpart in Canada.,"The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada, which serves a similar role as the FDA for the Canadian government.",The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada - the FDA's counterpart in Canada.,"The report shows that drugs sold in Canadian pharmacies are manufactured in facilities approved by Health Canada, which serves a similar role as the FDA for the Canadian government.",1,0,can't correct
"Democrats argue they are not constitutionally required to redraw the lines, and that proposed maps would disenfranchise minorities and rural Texas.",They argue that proposed congressional redistricting maps reviewed by the Legislature would disenfranchise minorities and rural Texas.,"Democrats argue they are not constitutionally required to redraw the lines, and that proposed maps would disenfranchise minorities and rural Texas.",They argue that proposed congressional redistricting maps reviewed by the Legislature would disenfranchise minorities and rural Texas.,0,0,no need to correct
"After about three hours of negotiations, the gunman released the hostages after authorities delivered on his request for soft drinks.","After about three hours of negotiations, the gunman released the hostages when authorities delivered on his request for a six-pack of soda.","After about three hours of negotiations, the gunman released the hostages after authorities delivered on his request for soft drinks.","After about three hours of negotiations, the gunman released the hostages when authorities delivered on his request for a six-pack of soda.",1,0,can't correct
Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes.,Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24.,Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes.,Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24.,1,0,can't correct
Danbury prosecutor Warren Murray could not be reached for comment Monday.,Prosecutors could not be reached for comment after the legal papers were obtained late Monday afternoon.,Danbury prosecutor Warren Murray could not be reached for comment Monday.,Prosecutors could not be reached for comment after the legal papers were obtained late Monday afternoon.,0,0,no need to correct
Both bidders agreed to assume about $90 million in debt owed on the planes.,Wexford had agreed to assume about $90 million in debt to buy the planes and certificate.,Both bidders agreed to assume about $90 million in debt owed on the planes.,Wexford had agreed to assume about $90 million in debt to buy the planes and certificate.,0,0,no need to correct
"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.,"In 1999, the building's owners, the Port Authority of New York and New Jersey, issued guidelines to upgrade the fireproofing to a thickness of 1{ inches.",The NIST discovered that in 1999 the Port Authority issued guidelines to upgrade the fireproofing to a thickness of 1 1/2 inches.,0,0,no need to correct
"A woman was listed in good condition at Memorial's HealthPark campus, he said.","His injured co-worker, a woman, was hospitalized as well but listed in good condition, Reichert said.","A woman was listed in good condition at Memorial's HealthPark campus, he said.","His injured co-worker, a woman, was hospitalized as well but listed in good condition, Reichert said.",0,0,no need to correct
"Palm plans to issue about 13.9 million shares of Palm common stock to Handspring's shareholders, on a fully diluted basis.",Palm will issue approximately 13.9 million shares of Palm common stock to Handspring's shareholders.,"Palm plans to issue about 13.9 million shares of Palm common stock to Handspring's shareholders, on a fully diluted basis.",Palm will issue approximately 13.9 million shares of Palm common stock to Handspring's shareholders.,0,0,no need to correct
"The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the Seattle Post-Intelligencer.","The depositions were made public yesterday at the request of the P-I, The Seattle Times and The Associated Press.","The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the Seattle Post-Intelligencer.","The depositions were made public yesterday at the request of the Seattle Post-Intelligencer, The Seattle Times and The Associated Press.",1,1,corrected
"The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the Seattle Post-Intelligencer.","The depositions were made public yesterday at the request of the P-I, The Seattle Times and The Associated Press.","The judge ordered the unsealing yesterday at the request of several news agencies, including The Seattle Times, The Associated Press and the P-I.","The depositions were made public yesterday at the request of the P-I, The Seattle Times and The Associated Press.",1,1,corrected
Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business.,Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company.,Wittig resigned last year after being indicted on federal bank fraud charges involving a real estate loan unrelated to Westar business.,Wittig resigned in late November about two weeks after being indicted on bank fraud charges in a real estate case unrelated to the company.,1,0,can't correct
